wall,sim,lingueta_mm,lamina_deg,fase
1788443973.17,809.60,0.00,0.00,
1788443973.27,809.70,0.00,0.00,
1788443973.37,809.80,0.00,0.00,
1788443973.48,809.90,0.01,0.00,
1788443973.58,810.00,0.01,0.00,
1788443973.68,810.10,-0.00,0.00,
1788443973.78,810.20,0.01,0.00,
1788443973.88,810.30,0.01,0.00,
1788443973.98,810.40,0.01,0.00,
1788443974.08,810.50,0.00,0.00,
1788443974.18,810.60,-0.00,0.00,
1788443974.28,810.70,-0.00,0.00,
1788443974.38,810.80,-0.00,0.00,
1788443974.48,810.90,-0.01,0.00,
1788443974.59,811.00,0.01,0.00,
1788443974.68,811.10,0.01,0.00,
1788443974.78,811.20,-0.00,0.00,
1788443974.89,811.30,-0.00,0.00,
1788443974.99,811.40,0.00,0.00,
1788443975.09,811.50,0.01,0.00,
1788443975.19,811.60,0.01,0.00,
1788443975.29,811.70,0.01,0.00,
1788443975.39,811.80,0.00,0.00,
1788443975.49,811.90,0.00,0.00,
1788443975.59,812.00,0.00,0.00,
1788443975.70,812.10,0.01,0.00,
1788443975.79,812.20,0.01,0.00,
1788443975.89,812.30,0.00,0.00,
1788443976.00,812.40,0.00,0.00,
1788443976.10,812.50,-0.00,0.00,
1788443976.20,812.60,0.00,0.00,
1788443976.30,812.70,-0.00,0.00,
1788443976.40,812.80,-0.00,0.00,
1788443976.50,812.90,-0.00,0.00,
1788443976.60,813.00,0.01,0.00,
1788443976.71,813.10,-0.00,0.00,
1788443976.81,813.20,-0.00,0.00,
1788443976.91,813.30,0.01,0.00,
1788443977.01,813.40,0.01,0.00,
1788443977.11,813.50,0.00,0.00,
1788443977.21,813.60,0.01,0.00,
1788443977.31,813.70,0.00,0.00,
1788443977.41,813.80,0.00,0.00,
1788443977.52,813.90,0.01,0.00,
1788443977.62,814.00,-0.00,0.00,
1788443977.72,814.10,0.00,0.00,
1788443977.82,814.20,0.01,0.00,
1788443977.92,814.30,0.01,0.00,
1788443978.02,814.40,0.00,0.00,
1788443978.12,814.50,0.00,0.00,
1788443978.22,814.60,0.00,0.00,
1788443978.32,814.70,-0.00,0.00,
1788443978.42,814.80,0.01,0.00,
1788443978.52,814.90,0.00,0.00,
1788443978.62,815.00,0.00,0.00,
1788443978.73,815.10,0.01,0.00,
1788443978.83,815.20,0.00,0.00,
1788443978.93,815.30,-0.00,0.00,
1788443979.03,815.40,0.00,0.00,
1788443979.13,815.50,0.00,0.00,
1788443979.23,815.60,-0.01,0.00,
1788443979.33,815.70,0.00,0.00,
1788443979.43,815.80,0.01,0.00,
1788443979.54,815.90,0.00,0.00,
1788443979.64,816.00,0.01,0.00,
1788443979.74,816.10,-0.00,0.00,
1788443979.84,816.20,-0.00,0.00,
1788443979.94,816.30,-0.00,0.00,
1788443980.04,816.40,0.01,0.00,
1788443980.14,816.50,-0.00,0.00,
1788443980.24,816.60,-0.00,0.00,
1788443980.34,816.70,0.01,0.00,
1788443980.45,816.80,0.01,0.00,
1788443980.55,816.90,-0.01,0.00,
1788443980.65,817.00,0.00,0.00,
1788443980.75,817.10,0.01,0.00,
1788443980.85,817.20,0.00,0.00,
1788443980.95,817.30,0.01,0.00,
1788443981.05,817.40,0.01,0.00,
1788443981.15,817.50,-0.00,0.00,
1788443981.25,817.60,-0.00,0.00,
1788443981.36,817.70,-0.00,0.00,
1788443981.45,817.80,0.01,0.00,
1788443981.56,817.90,0.01,0.00,
1788443981.66,818.00,0.00,0.00,
1788443981.76,818.10,-0.00,0.00,
1788443981.86,818.20,0.01,0.00,
1788443981.96,818.30,0.01,0.00,
1788443982.06,818.40,-0.00,0.00,
1788443982.16,818.50,0.00,0.00,
1788443982.26,818.60,0.01,0.00,
1788443982.36,818.70,-0.00,0.00,
1788443982.46,818.80,-0.00,0.00,
1788443982.56,818.90,0.01,0.00,
1788443982.66,819.00,-0.00,0.00,
1788443982.76,819.10,-0.00,0.00,
1788443982.86,819.20,0.01,0.00,
1788443982.96,819.30,0.00,0.00,
1788443983.07,819.40,0.00,0.00,
1788443983.17,819.50,0.00,0.00,
1788443983.27,819.60,0.00,0.00,
1788443983.37,819.70,0.01,0.00,
1788443983.46,819.80,0.01,0.00,
1788443983.57,819.90,0.00,0.00,
1788443983.67,820.00,0.00,0.00,
1788443983.77,820.10,0.01,0.00,
1788443983.87,820.20,-0.00,0.00,
1788443983.97,820.30,0.01,0.00,
1788443984.07,820.40,0.01,0.00,
1788443984.17,820.50,0.00,0.00,
1788443984.27,820.60,-0.00,0.00,
1788443984.38,820.70,0.01,0.00,
1788443984.48,820.80,0.00,0.00,
1788443984.58,820.90,0.00,0.00,
1788443984.68,821.00,-0.00,0.00,
1788443984.78,821.10,0.00,0.00,
1788443984.88,821.20,-0.00,0.00,
1788443984.98,821.30,0.00,0.00,
1788443985.08,821.40,0.00,0.00,
1788443985.19,821.50,-0.00,0.00,
1788443985.29,821.60,0.01,0.00,
1788443985.39,821.70,0.00,0.00,
1788443985.49,821.80,0.00,0.00,
1788443985.59,821.90,0.00,0.00,
1788443985.70,822.00,0.00,0.00,
1788443985.80,822.10,0.00,0.00,
1788443985.90,822.20,-0.00,0.00,
1788443986.00,822.30,0.00,0.00,
1788443986.10,822.40,0.01,0.00,
1788443986.20,822.50,-0.00,0.00,
1788443986.30,822.60,0.01,0.00,
1788443986.41,822.70,0.01,0.00,
1788443986.51,822.80,0.00,0.00,
1788443986.61,822.90,-0.00,0.00,
1788443986.71,823.00,0.00,0.00,
1788443986.81,823.10,-0.00,0.00,
1788443986.91,823.20,-0.00,0.00,
1788443987.01,823.30,-0.00,0.00,
1788443987.11,823.40,0.00,0.00,
1788443987.21,823.50,0.01,0.00,
1788443987.31,823.60,0.00,0.00,
1788443987.41,823.70,-0.00,0.00,
1788443987.52,823.80,0.00,0.00,
1788443987.62,823.90,0.00,0.00,
1788443987.72,824.00,0.01,0.00,
1788443987.82,824.10,0.00,0.00,
1788443987.92,824.20,0.00,0.00,
1788443988.02,824.30,-0.00,0.00,
1788443988.12,824.40,0.00,0.00,
1788443988.22,824.50,0.00,0.00,
1788443988.32,824.60,-0.00,0.00,
1788443988.43,824.70,-0.00,0.00,
1788443988.53,824.80,0.01,0.00,
1788443988.62,824.90,0.01,0.00,
1788443988.73,825.00,0.00,0.00,
1788443988.83,825.10,0.01,0.00,
1788443988.93,825.20,0.01,0.00,
1788443989.03,825.30,0.01,0.00,
1788443989.13,825.40,-0.00,0.00,
1788443989.23,825.50,0.01,0.00,
1788443989.33,825.60,0.00,0.00,
1788443989.43,825.70,-0.00,0.00,
1788443989.53,825.80,0.00,0.00,
1788443989.63,825.90,0.01,0.00,
1788443989.73,826.00,0.00,0.00,
1788443989.83,826.10,-0.00,0.00,
1788443989.93,826.20,0.00,0.00,
1788443990.03,826.30,0.01,0.00,
1788443990.13,826.40,0.00,0.00,
1788443990.24,826.50,-0.01,0.00,
1788443990.34,826.60,-0.00,0.00,
1788443990.44,826.70,-0.00,0.00,
1788443990.54,826.80,0.01,0.00,
1788443990.64,826.90,-0.00,0.00,
1788443990.74,827.00,-0.00,0.00,
1788443990.84,827.10,-0.00,0.00,
1788443990.94,827.20,0.01,0.00,
1788443991.04,827.30,-0.00,0.00,
1788443991.14,827.40,0.00,0.00,
1788443991.25,827.50,0.00,0.00,
1788443991.35,827.60,-0.00,0.00,
1788443991.45,827.70,0.00,0.00,
1788443991.55,827.80,-0.00,0.00,
1788443991.65,827.90,0.00,0.00,
1788443991.75,828.00,0.00,0.00,
1788443991.86,828.10,0.01,0.00,
1788443991.96,828.20,0.01,0.00,
1788443992.06,828.30,-0.00,0.00,
1788443992.16,828.40,-0.00,0.00,
1788443992.26,828.50,-0.00,0.00,
1788443992.36,828.60,0.00,0.00,
1788443992.46,828.70,-0.00,0.00,
1788443992.56,828.80,0.01,0.00,
1788443992.67,828.90,0.00,0.00,
1788443992.77,829.00,0.00,0.00,
1788443992.87,829.10,-0.00,0.00,
1788443992.97,829.20,0.00,0.00,
1788443993.07,829.30,0.01,0.00,
1788443993.17,829.40,0.01,0.00,
1788443993.27,829.50,0.01,0.00,
1788443993.37,829.60,0.01,0.00,
1788443993.47,829.70,0.00,0.00,
1788443993.57,829.80,0.01,0.00,
1788443993.68,829.90,0.01,0.00,
1788443993.78,830.00,-0.00,0.00,
1788443993.88,830.10,-0.00,0.00,
1788443993.98,830.20,-0.00,0.00,
1788443994.08,830.30,0.01,0.00,
1788443994.18,830.40,0.01,0.00,
1788443994.28,830.50,0.01,0.00,
1788443994.38,830.60,0.01,0.00,
1788443994.48,830.70,0.00,0.00,
1788443994.58,830.80,0.00,0.00,
1788443994.68,830.90,0.01,0.00,
1788443994.78,831.00,0.00,0.00,
1788443994.88,831.10,0.01,0.00,
1788443994.98,831.20,-0.00,0.00,
1788443995.08,831.30,-0.00,0.00,
1788443995.18,831.40,0.01,0.00,
1788443995.28,831.50,0.00,0.00,
1788443995.38,831.60,-0.00,0.00,
1788443995.48,831.70,-0.00,0.00,
1788443995.59,831.80,0.01,0.00,
1788443995.69,831.90,-0.01,0.00,
1788443995.79,832.00,0.01,0.00,
1788443995.89,832.10,-0.00,0.00,
1788443995.99,832.20,-0.00,0.00,
1788443996.09,832.30,0.00,0.00,
1788443996.19,832.40,0.00,0.00,
1788443996.29,832.50,0.01,0.00,
1788443996.39,832.60,0.00,0.00,
1788443996.49,832.70,0.01,0.00,
1788443996.60,832.80,0.01,0.00,
1788443996.70,832.90,0.00,0.00,
1788443996.80,833.00,0.01,0.00,
1788443996.90,833.10,-0.00,0.00,
1788443997.00,833.20,-0.00,0.00,
1788443997.10,833.30,0.00,0.00,
1788443997.20,833.40,0.00,0.00,
1788443997.30,833.50,0.00,0.00,
1788443997.40,833.60,-0.00,0.00,
1788443997.50,833.70,0.01,0.00,
1788443997.61,833.80,-0.00,0.00,
1788443997.71,833.90,-0.01,0.00,
1788443997.81,834.00,-0.00,0.00,
1788443997.91,834.10,0.01,0.00,
1788443998.01,834.20,0.00,0.00,
1788443998.11,834.30,0.00,0.00,
1788443998.21,834.40,0.00,0.00,
1788443998.32,834.50,0.00,0.00,
1788443998.42,834.60,-0.00,0.00,
1788443998.51,834.70,0.00,0.00,
1788443998.62,834.80,-0.00,0.00,
1788443998.72,834.90,0.01,0.00,
1788443998.81,835.00,0.01,0.00,
1788443998.92,835.10,0.00,0.00,
